equipo,temporada

AD Ceuta,1977-78
AD Ceuta FC,2021-22

Alavés,1983-84
Alavés B,1999-00

Alcorcón,2000-01
Alcorcón B,2022-23

Almería,1993-94
Almería B,2010-11

Andorra,1980-81
Andorra CF,2011-12

Antequera,2008-09
Antequerano,1981-82

Atlético Malagueño,1993-94
Malaga CF,2004-05

Atlético de Madrid B,1991-92
Atlético Madrileño,1977-78

Avilés CF,2012-13
Avilés Industrial,1983-84

Badalona,2004-05
Badalona Futur,2022-23

Barcelona Aficionados,1984-85
Barcelona Atlètic,2022-23
Barcelona Atlético,1977-78
Barcelona B,1997-98
Barcelona C,1995-96

Betis B,1991-92
Betis Deportivo,1985-86

Burgos,1982-83
Burgos CF,1997-98
Burgos Promesas,2021-22

Calvo Sotelo,1978-79
Calvo Sotelo Puertollano,2021-22

Castellón,1994-95
Castilla,1977-78
Castillo,2004-05

Celta de Vigo,1980-81
Celta de Vigo B,1996-97

Cádiz,1994-95
Cádiz B,2019-20
Cádiz Mirandilla,2022-23

Córdoba,1978-79
Córdoba B,2013-14

Deportivo de La Coruña,1980-81
Deportivo de La Coruña B,1995-96

FC Cartagena,2003-04
FC Cartagena B,2022-23

Gerona,1977-78
Girona,1987-88

Getafe,1987-88
Getafe B,2010-11

Gimnàstic de Tarragona,1991-92
Gimnástico de Tarragona,1978-79

Granada,1981-82
Granada 74,2008-09
Granada B,2013-14

Hospitalet,1982-83
L'Hospitalet,1994-95

Huesca,1977-78
Huesca B,2021-22

Huracán Valencia,2011-12

Jerez,1998-99
Jerez Industrial,2009-10

Las Palmas,1992-93
Las Palmas Atlético,1979-80

Leganés,1987-88
Leganés B,1995-96

Levante,1977-78
Levante B,2004-05

Linares,2015-16
Linares CF,1977-78

Lleida,1979-80
Lleida CF,2011-12

Llerenense,2023-24
Llosetense,2015-16

Logroñés,1978-79
Logroñés B,1991-92
Logroñés CF,2005-06

Lorca,1981-82
Lorca Atlético,2010-11
Lorca CF,1995-96
Lorca Deportiva,2003-04
Lorca FC,2016-17

Mallorca,1977-78
Mallorca Atlético,1986-87
Mallorca B,1995-96

Mancha Real,2016-17
Manchego,1994-95

Mar Menor,1996-97
Mar Menor FC,2021-22

Murcia,1992-93
Murcia Imperial,2008-09

Málaga,1995-96
Málaga B,2002-03

Mérida,1989-90
Mérida AD,2015-16
Mérida Industrial,1980-81

Olímpic,1987-88
Olímpico,1977-78

Onteniente,1977-78
Ontinyent,1994-95

Orihuela,1984-85
Orihuela CF,2002-03

Osasuna B,1991-92
Osasuna Promesas,1982-83

Ourense,1999-00
Ourense CF,2022-23

Oviedo,1978-79
Oviedo Aficionados,1988-89
Oviedo B,1991-92
Oviedo Vetusta,2022-23

Palencia,1990-91
Palencia CF,1977-78

Peralada,2017-18
Peralta,2002-03

Peña Deportiva,1993-94
Peña Sport,2000-01

Polideportivo Ejido,1991-92
Polideportivo El Ejido,2021-22

Premià,1994-95
Premiá,1993-94

Racing de Santander,1990-91
Racing de Santander B,1997-98

Rayo Vallecano,1984-85
Rayo Vallecano B,2010-11

Real Madrid B,1997-98
Real Madrid C,1993-94
Real Madrid Castilla,2007-08
Real Madrid Deportivo,1990-91

Real Sociedad B,1991-92
Real Sociedad C,2021-22

Salamanca,1985-86
Salamanca UDS,2018-19

San Fernando,1979-80
San Fernando CD,2012-13

San Sebastián,1980-81
San Sebastián de los Reyes,1987-88

Sevilla Atlético,1977-78
Sevilla B,1992-93

Sporting Atlético,1979-80
Sporting Mahonés,1987-88
Sporting Villanueva,2011-12
Sporting de Gijón B,1991-92

Talavera,1982-83
Talavera de la Reina,2015-16

Tenerife,1978-79
Tenerife B,1995-96

UD Logroñés,2009-10
UD Logroñés B,2021-22

Valencia B,1992-93
Valencia Mestalla,2006-07

Valladolid B,1991-92
Valladolid Promesas,2019-20

Villanovense,2003-04
Villanueva,2005-06

Villarreal,1987-88
Villarreal B,2007-08

Xerez,1977-78
Xerez Deportivo,2021-22

Yeclano,1990-91
Yeclano Deportivo,2010-11

Zaragoza B,1991-92
Águilas,1998-99
Águilas FC,2021-22