equipo_original,equipo_normalizado
ANTEQUERANO,ANTEQUERA
ATLETICO DE MADRID B,ATLETICO DE MADRID B
ATLETICO MADRILENO,ATLETICO DE MADRID B
AVILES INDUSTRIAL,AVILES CF
AVILES CF,AVILES CF
BADALONA,BADALONA FUTUR
BADALONA FUTUR,BADALONA FUTUR
BARCELONA AFICIONADOS,BARCELONA B
BARCELONA ATLETIC,BARCELONA B
BARCELONA ATLETICO,BARCELONA B
BARCELONA B,BARCELONA B
BARCELONA C,BARCELONA B
BETIS B,BETIS DEPORTIVO
BETIS DEPORTIVO,BETIS DEPORTIVO
CADIZ MIRANDILLA,CADIZ B
CADIZ B,CADIZ B
CADIZ,CADIZ
GERONA,GIRONA
GIRONA,GIRONA
GIMNASTIC DE TARRAGONA,GIMNASTIC DE TARRAGONA
GIMNASTICO DE TARRAGONA,GIMNASTIC DE TARRAGONA
HOSPITALET,HOSPITALET
L'HOSPITALET,HOSPITALET
HURACAN VALENCIA,HURACAN VALENCIA
LLEIDA,LLEIDA CF
LLEIDA CF,LLEIDA CF
MAR MENOR,MAR MENOR FC
MAR MENOR FC,MAR MENOR FC
OSASUNA B,OSASUNA PROMESAS
OSASUNA PROMESAS,OSASUNA PROMESAS
OVIEDO B,OVIEDO B
OVIEDO AFICIONADOS,OVIEDO B
OVIEDO VETUSTA,OVIEDO B
OVIEDO,OVIEDO
PREMIA,PREMIA
PREMIAÌ€,PREMIA
REAL MADRID B,REAL MADRID CASTILLA
REAL MADRID C,REAL MADRID C
REAL MADRID CASTILLA,REAL MADRID CASTILLA
SEVILLA ATLETICO,SEVILLA ATLETICO
SEVILLA B,SEVILLA ATLETICO
VALENCIA B,VALENCIA MESTALLA
VALENCIA MESTALLA,VALENCIA MESTALLA
VALLADOLID B,VALLADOLID PROMESAS
VALLADOLID PROMESAS,VALLADOLID PROMESAS
AGUILAS,AGUILAS FC
AGUILAS FC,AGUILAS FC
